questions;reponses
Comment s'appelle toto?;toto
Comment s'appelle tata?;tata
Quelle est la capitale de la turquie?;Ankara
Comment s'appelle le dieu de la guerre chez les romains?;Mars
Quelle célèbre personnalité de l'antiquité se serait suicidée en se faisant mordre par un serpent?;Cléopâtre
Quel philosophe grec a écrit « Le banquet »?;Platon
Quelle ville française s'appelait Lugdunum dans l'antiquité?;Lyon
Combien de départements comptent la Bretagne?;Quatre
Quelle est la préfecture du Finistère?;Quimper
Comment dit-on Bretagne en breton?;Breizh
Dans quelle ville retrouve-t-on des alignements de menhirs et de dolmens sur 4 kilomètres?;Carnac
Dans quelle ville se trouve le château des ducs de Bretagne?;Nantes
De quelle couleur est le billet de 100 euros?;Vert
Où se trouve le siège de la Banque centrale européenne?;Francfort
Dans quelle ville de France se trouve le siège du parlement européen?;Strasbourg
Quel pays est la première puissance économique européenne?;Allemagne
Quel pays à le moins de représentants au Parlement?;Malte
Quel était le nom de famille de Brenda et Brandon dans Beverly Hills?;Walsh
Dans quelle ville se passe l'action de la série « Urgences » ?;Chicago
Comment s'appelait le personnage qui jouait du Synthé dans la série Hélène et les garçons?;José
Sur quel circuit automobile est mort Ayrton Senna?;Imola
